File	Component Definitions	Annotated Defs	Annotations per def
sb500240p.xml	29	0	
sb500241e.xml	86	0	
sb500243c.xml	188	0	
sb500247a.xml	64	0	
sb5002483.xml	8	0	
sb5002517.xml	54	0	
sb500252a.xml	30	0	
sb5002533.xml	4563	0	
sb500255k.xml	80	0	
sb500262f.xml	2	0	
sb500270h.xml	57	0	
sb500273n.xml	175	0	
sb500278z.xml	66	0	
sb500279w.xml	13	0	
sb5002856.xml	45	0	
sb500296p.xml	49	0	
sb500300d.xml	3	0	
sb500305v.xml	26	0	
sb500309r.xml	62	0	
sb5003136.xml	24	0	
sb500314r.xml	3	0	
sb500319p.xml	51	0	
sb5003218.xml	13	0	
sb500322u.xml	20	0	
sb500331x.xml	174	0	
sb500332c.xml	48	0	
sb500341a.xml	17	0	
sb500343g.xml	22	0	
sb500345t.xml	5	0	
sb5003482.xml	23	0	
sb500351f.xml	97	0	
sb500356d.xml	113	0	
sb500363y.xml	89	0	
sb500364q.xml	8	0	
sb500365m.xml	61	0	
sb500366v.xml	188	96	"5, 5, 10, 5, 6, 6, 6, 6, 5, 10, 5, 8, 13, 5, 6, 6, 5, 8, 8, 6, 5, 5, 6, 10, 6, 6, 6, 5, 5, 5, 14, 6, 5, 6, 5, 9, 6, 6, 8, 5, 6, 6, 6, 5, 5, 6, 5, 5, 5, 9, 9, 6, 6, 5, 5, 6, 10, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 5, 8, 5, 6, 5, 5, 9, 6, 5, 6, 6, 6, 5, 8, 5, 5, 6, 6, 6, 9, 8, 5, 6, 6, 6, 5"
sb500368w.xml	28	0	
sb500372z.xml	18	0	
sb5b00002.xml	73	0	
sb5b00004.xml	42	0	
sb5b00007.xml	100	0	
sb5b00012.xml	48	1	7
sb5b00016.xml	68	0	
sb5b00025.xml	113	0	
sb5b00033.xml	44	0	
sb5b00034.xml	3	0	
sb5b00037.xml	6	0	
sb5b00038.xml	65	0	
sb5b00040.xml	12	0	
sb5b00041.xml	26	0	
sb5b00048.xml	6	0	
sb5b00051.xml	8	0	
sb5b00054.xml	34	0	
sb5b00057.xml	84	0	
sb5b00060.xml	65	8	"9, 5, 6, 9, 8, 9, 4, 4"
sb5b00062.xml	32	0	
sb5b00074.xml	1	0	
sb5b00075.xml	23	0	
sb5b00076.xml	127	0	
sb5b00077.xml	11	1	1
sb5b00080.xml	93	0	
sb5b00085.xml	18	9	"6, 4, 1, 3, 3, 1, 1, 4, 1"
sb5b00092.xml	15	0	
sb5b00098.xml	20	0	
sb5b00100.xml	52	0	
sb5b00111.xml	8	0	
sb5b00113.xml	108	0	
sb5b00116.xml	12	11	"5, 7, 5, 7, 5, 11, 7, 7, 4, 7, 7"
sb5b00117.xml	18	0	
sb5b00120.xml	14	0	
sb5b00131.xml	37	0	
sb5b00132.xml	53	2	"5, 12"
sb5b00147.xml	47	11	"1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1"
sb5b00156.xml	77	6	"1, 5, 3, 1, 5, 6"
sb5b00158.xml	661	0	
sb5b00161.xml	38	1	1
sb5b00162.xml	16	0	
sb5b00164.xml	16	0	
sb5b00170.xml	54	0	
sb5b00174.xml	32	6	"3, 1, 1, 1, 1, 1"
sb5b00180.xml	258	0	
sb5b00191.xml	36	0	
sb5b00196.xml	28	0	
sb5b00197.xml	1	0	
sb5b00201.xml	32	0	
sb5b00209.xml	54	0	
sb5b00212.xml	92	33	"1, 4, 2, 1, 1, 2, 3, 6, 1, 3, 3, 1, 3, 1, 1, 1, 4, 3, 2, 4, 1, 10, 5, 1, 2, 1, 3, 4, 1, 2, 3, 3, 1"
sb5b00213.xml	51	0	
sb5b00215.xml	104	23	"1, 3, 1, 2, 1, 1, 1, 2, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1"
sb5b00216.xml	11	0	
sb5b00219.xml	196	0	
sb5b00223.xml	45	12	"1, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2"
sb5b00225.xml	5112	0	
sb5b00228.xml	40	0	
sb5b00230.xml	4	1	2
sb5b00231.xml	58	0	
sb5b00240.xml	88	0	
sb5b00250.xml	115	0	
sb5b00253.xml	2	0	
sb5b00257.xml	37	0	
sb5b00259.xml	18	0	
sb5b00261.xml	6	0	
sb5b00264.xml	117	2	"3, 4"
sb5b00266.xml	2083	0	
sb5b00274.xml	7	0	
sb5b00279.xml	13	0	
sb5b00286.xml	11	0	
sb5b00287.xml	8	0	
sb5b00289.xml	75	0	
sb5b00296.xml	8	2	"1, 1"
sb5b00298.xml	33	0	
sb5b00299.xml	37	0	
sb6b00007.xml	37	0	
sb6b00010.xml	5	1	1
sb6b00013.xml	5	0	
sb6b00017.xml	56	0	
sb6b00019.xml	148	0	
sb6b00025.xml	14	0	
sb6b00027.xml	117	0	
sb6b00029.xml	5	0	
sb6b00030.xml	14	0	
sb6b00031.xml	126	16	"3, 2, 1, 1, 3, 5, 1, 2, 1, 2, 11, 1, 1, 1, 1, 1"
sb6b00032.xml	14	0	
sb6b00034.xml	17	0	
sb6b00036.xml	141	1	2
sb6b00037.xml	7	0	
sb6b00038.xml	57	0	
sb6b00040.xml	6	3	"1, 1, 1"
sb6b00044.xml	44	0	
sb6b00050.xml	51	0	
sb6b00056.xml	47	0	
sb6b00060.xml	100	0	
sb6b00061.xml	28	0	
sb6b00064.xml	14	0	
sb6b00065.xml	4	0	
sb6b00069.xml	17	0	
sb6b00075.xml	50	2	"1, 2"
sb6b00078.xml	86	0	
sb6b00079.xml	31	1	3
sb6b00080.xml	170	0	
sb6b00081.xml	43	0	
sb6b00082.xml	125	0	
sb6b00083.xml	29	0	
sb6b00085.xml	17	0	
sb6b00087.xml	42	2	"1, 1"
sb6b00089.xml	86	0	
sb6b00092.xml	19	1	1
sb6b00100.xml	12	0	
sb6b00105.xml	53	0	
sb6b00107.xml	2	0	
sb6b00109.xml	76	0	
sb6b00114.xml	95	0	
sb6b00115.xml	119	0	
sb6b00117.xml	1	0	
sb6b00119.xml	149	0	
sb6b00121.xml	148	0	
sb6b00122.xml	111	0	
sb6b00123.xml	349	0	
sb6b00125.xml	119	7	"3, 2, 3, 2, 3, 3, 3"
sb6b00132.xml	22	0	
sb6b00136.xml	16	0	
sb6b00138.xml	39	0	
sb6b00140.xml	47	0	
sb6b00141.xml	38	0	
sb6b00145.xml	33	0	
sb6b00148.xml	29	0	
sb6b00154.xml	17	0	
sb6b00157.xml	6	6	"3, 3, 1, 2, 1, 2"
sb6b00159.xml	20	0	
sb6b00160.xml	4	0	
sb6b00165.xml	96	0	
sb6b00166.xml	38	1	2
sb6b00167.xml	14	0	
sb6b00170.xml	18	0	
sb6b00174.xml	34	0	
sb6b00176.xml	4	0	
sb6b00177.xml	37	0	
sb6b00178.xml	210	0	
sb6b00184.xml	9	9	"1, 1, 1, 1, 1, 2, 1, 1, 1"
sb6b00187.xml	80	0	
sb6b00191.xml	4	3	"4, 5, 4"
sb6b00193.xml	30	0	
sb6b00194.xml	29	0	
sb6b00199.xml	28	0	
sb6b00201.xml	11	0	
sb6b00202.xml	29	5	"1, 1, 1, 1, 1"
sb6b00203.xml	22	0	
sb6b00206.xml	213	0	
sb6b00215.xml	207	1	2
sb6b00230.xml	5	0	
sb6b00233.xml	10	0	
sb6b00235.xml	378	0	
sb6b00239.xml	36	0	
sb6b00245.xml	85	0	
sb6b00248.xml	42	0	
sb6b00250.xml	24	2	"1, 1"
sb6b00251.xml	93	0	
sb6b00254.xml	72	0	
sb6b00255.xml	6	0	
sb6b00261.xml	145	0	
sb6b00263.xml	45	0	
sb6b00271.xml	198	2	"1, 1"
sb6b00279.xml	11	11	"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2"
sb6b00281.xml	66	0	
sb6b00282.xml	6	0	
sb6b00285.xml	3	0	
sb6b00287.xml	126	0	
sb6b00292.xml	9	2	"4, 2"
sb6b00293.xml	1	0	
sb6b00295.xml	48	0	
sb6b00297.xml	2	0	
sb6b00299.xml	89	0	
sb6b00313.xml	47	0	
sb6b00319.xml	70	19	"2, 2, 3, 2, 3, 3, 1, 2, 3, 2, 1, 1, 3, 3, 1, 2, 1, 1, 3"
sb6b00320.xml	187	6	"1, 1, 1, 1, 1, 1"
sb6b00323.xml	48	0	
sb6b00324.xml	69	0	
sb6b00328.xml	91	0	
sb6b00330.xml	93	0	
sb6b00335.xml	27	0	
sb6b00336.xml	14	0	
sb6b00337.xml	50	1	1
sb6b00339.xml	36	0	
sb6b00341.xml	1	0	
sb6b00342.xml	121	0	
sb6b00346.xml	78	0	
sb6b00348.xml	111	0	
sb6b00349.xml	18	0	
sb6b00350.xml	43	0	
sb6b00353.xml	48	0	
sb6b00354.xml	69	1	1
sb6b00358.xml	77	0	
sb6b00361.xml	14	0	
sb6b00364.xml	48	0	
sb6b00368.xml	94	0	
sb6b00373.xml	38	0	
sb6b00374.xml	132	0	
sb6b00376.xml	292	0	
sb6b00377.xml	6	0	
sb6b00378.xml	124	0	
sb6b00379.xml	2	0	
sb6b00387.xml	16	0	
sb6b00388.xml	58	0	
sb6b00391.xml	36	0	
sb6b00392.xml	12	0	
sb7b00009.xml	21	0	
sb7b00017.xml	28	14	"2, 1, 1, 5, 5, 2, 3, 1, 1, 1, 5, 3, 5, 5"
sb7b00019.xml	25	0	
sb7b00020.xml	13	0	
sb7b00025.xml	9	0	
sb7b00034.xml	2	0	
sb7b00041.xml	199	0	
sb7b00042.xml	45	0	
sb7b00045.xml	96	0	
sb7b00046.xml	22	1	1
sb7b00048.xml	43	0	
sb7b00050.xml	48	0	
sb7b00057.xml	23	0	
sb7b00058.xml	23	1	3
sb7b00059.xml	15	12	"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4"
sb7b00069.xml	54	1	2
sb7b00072.xml	45	0	
sb7b00078.xml	13	0	
sb7b00083.xml	7	0	
sb7b00089.xml	43	0	
sb7b00099.xml	12	0	
sb7b00102.xml	9	0	
sb7b00105.xml	32	0	
sb7b00109.xml	14	0	
sb7b00112.xml	260	0	
sb7b00113.xml	154	0	
sb7b00114.xml	13	0	
sb7b00115.xml	24	0	
sb7b00116.xml	108	0	
sb7b00119.xml	34	1	2
sb7b00122.xml	23	12	"3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3"
sb7b00124.xml	36	2	"1, 1"
sb7b00128.xml	24	0	
sb7b00131.xml	3	0	
sb7b00134.xml	7	0	
sb7b00137.xml	4	0	
sb7b00138.xml	51	0	
sb7b00144.xml	23	0	
sb7b00147.xml	18	0	
sb7b00155.xml	94	0	
sb7b00157.xml	138	0	
sb7b00163.xml	158	0	
sb7b00165.xml	16	0	
sb7b00166.xml	28	0	
sb7b00167.xml	128	0	
sb7b00169.xml	17	0	
sb7b00171.xml	14	0	
sb7b00179.xml	36	0	
sb7b00191.xml	137	0	
sb7b00192.xml	25	1	1
sb7b00199.xml	12	0	
sb7b00200.xml	17	0	
sb7b00203.xml	4	0	
sb7b00209.xml	116	0	
sb7b00214.xml	5	0	
sb7b00219.xml	6	0	
sb7b00237.xml	20	0	
sb7b00240.xml	89	0	
sb7b00246.xml	90	0	
sb7b00247.xml	29	0	
sb7b00249.xml	102	0	
sb7b00251.xml	22	0	
sb7b00253.xml	25	14	"3, 3, 3, 4, 3, 3, 2, 3, 2, 3, 2, 1, 4, 1"
sb7b00254.xml	105	0	
sb7b00256.xml	25	0	
sb7b00258.xml	41	0	
sb7b00259.xml	66	0	
sb7b00260.xml	24	0	
sb7b00261.xml	88	0	
sb7b00266.xml	45	0	
sb7b00268.xml	269	5	"2, 2, 1, 1, 2"
sb7b00269.xml	39	0	
sb7b00273.xml	15	0	
sb7b00277.xml	18	0	
sb7b00278.xml	131	0	
sb7b00279.xml	77	0	
sb7b00281.xml	10	0	
sb7b00285.xml	53	0	
sb7b00287.xml	36	0	
sb7b00290.xml	15	0	
sb7b00292.xml	29	3	"5, 1, 6"
sb7b00293.xml	46	0	
sb7b00294.xml	18	0	
sb7b00295.xml	10	0	
sb7b00297.xml	248	0	
sb7b00302.xml	3	0	
sb7b00303.xml	28	0	
sb7b00306.xml	21	0	
sb7b00318.xml	101	0	
sb7b00322.xml	59	1	1
sb7b00325.xml	50	0	
sb7b00328.xml	14	4	"5, 5, 5, 4"
sb7b00333.xml	18	0	
sb7b00334.xml	30	0	
sb7b00338.xml	69	0	
sb7b00342.xml	14	3	"3, 4, 3"
sb7b00345.xml	153	0	
sb7b00349.xml	36	0	
sb7b00355.xml	316	0	
sb7b00356.xml	36	0	
sb7b00363.xml	114	0	
sb7b00366.xml	869	0	
sb7b00373.xml	34	0	
sb7b00375.xml	77	0	
sb7b00376.xml	20	12	"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1"
sb7b00382.xml	55	0	
sb7b00383.xml	9	0	
sb7b00385.xml	17	0	
sb7b00387.xml	23	0	
sb7b00390.xml	15	0	
sb7b00391.xml	35	0	
sb7b00397.xml	48	0	
sb7b00398.xml	57	0	
sb7b00399.xml	75	53	"3, 3, 5, 4, 2, 5, 5, 3, 2, 5, 4, 8, 5, 5, 6, 5, 8, 5, 5, 4, 2, 5, 2, 3, 5, 3, 8, 4, 8, 3, 5, 4, 4, 5, 2, 4, 8, 7, 2, 5, 5, 5, 9, 5, 4, 5, 5, 5, 5, 8, 5, 2, 4"
sb7b00400.xml	159	0	
sb7b00404.xml	19	0	
sb7b00406.xml	3	0	
sb7b00407.xml	13	0	
sb7b00409.xml	36	0	
sb7b00410.xml	21	1	3
sb7b00412.xml	6	0	
sb7b00414.xml	32	0	
sb7b00416.xml	101	2	"1, 1"
sb7b00419.xml	879	0	
sb7b00421.xml	14	1	5
sb7b00422.xml	6	1	3
sb7b00425.xml	24	0	
sb7b00426.xml	13	0	
sb7b00428.xml	6	0	
sb7b00430.xml	104	0	
sb7b00431.xml	11	0	
sb7b00433.xml	7	0	
sb7b00439.xml	14	0	
sb7b00440.xml	18	1	1
sb7b00446.xml	11	0	
sb7b00448.xml	107	0	
sb7b00451.xml	19	0	
sb7b00453.xml	72	0	
sb7b00455.xml	6	0	
sb7b00456.xml	153	0	
sb7b00459.xml	4052	1258	"6, 5, 5, 1, 5, 4, 7, 1, 5, 1, 6, 7, 5, 6, 5, 1, 8, 6, 6, 6, 4, 1, 7, 1, 1, 5, 6, 7, 6, 7, 6, 6, 1, 7, 1, 6, 6, 1, 1, 7, 7, 6, 1, 1, 1, 1, 6, 8, 1, 1, 8, 4, 6, 6, 8, 7, 4, 6, 5, 1, 5, 1, 5, 6, 1, 1, 6, 1, 7, 5, 5, 1, 5, 1, 6, 8, 4, 1, 5, 7, 5, 4, 1, 7, 5, 5, 6, 2, 5, 8, 1, 1, 6, 1, 7, 6, 6, 6, 5, 5, 6, 8, 4, 1, 7, 7, 5, 6, 1, 1, 1, 6, 1, 1, 6, 5, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 8, 1, 6, 5, 6, 1, 6, 1, 1, 5, 1, 7, 5, 5, 5, 7, 5, 7, 6, 4, 1, 1, 6, 6, 6, 1, 5, 1, 5, 6, 6, 1, 1, 4, 6, 1, 6, 6, 3, 1, 8, 6, 5, 1, 7, 5, 6, 1, 1, 1, 1, 1, 6, 1, 1, 3, 6, 1, 4, 6, 6, 6, 5, 7, 1, 5, 4, 5, 6, 7, 5, 7, 1, 8, 5, 5, 5, 6, 1, 7, 1, 7, 6, 4, 6, 6, 6, 1, 4, 1, 1, 1, 1, 1, 6, 1, 1, 6, 8, 3, 1, 4, 9, 1, 5, 1, 4, 1, 6, 6, 1, 1, 1, 6, 1, 1, 6, 1, 6, 5, 1, 5, 1, 6, 4, 1, 6, 7, 5, 1, 6, 1, 1, 1, 4, 6, 5, 6, 6, 1, 6, 7, 6, 1, 5, 7, 8, 1, 5, 6, 7, 1, 1, 7, 1, 4, 5, 6, 8, 7, 6, 7, 5, 6, 6, 6, 1, 1, 7, 7, 5, 5, 1, 7, 1, 1, 1, 6, 6, 5, 4, 7, 4, 7, 8, 6, 6, 1, 1, 7, 5, 6, 6, 1, 1, 1, 1, 5, 7, 1, 1, 1, 6, 1, 4, 5, 6, 4, 8, 7, 7, 6, 4, 7, 7, 1, 5, 7, 4, 5, 1, 6, 5, 4, 7, 1, 1, 6, 5, 4, 7, 7, 1, 6, 6, 7, 5, 8, 7, 5, 7, 5, 4, 5, 1, 4, 1, 6, 6, 1, 1, 6, 6, 5, 5, 6, 8, 1, 4, 7, 5, 6, 7, 7, 1, 1, 1, 1, 5, 7, 5, 5, 1, 7, 6, 1, 8, 4, 6, 5, 4, 7, 5, 7, 1, 5, 5, 5, 7, 1, 1, 4, 7, 6, 5, 5, 7, 5, 6, 5, 6, 7, 6, 1, 5, 6, 6, 9, 6, 4, 6, 5, 4, 5, 6, 3, 5, 1, 5, 6, 7, 6, 1, 7, 6, 6, 1, 7, 6, 1, 6, 5, 6, 6, 7, 6, 4, 7, 8, 5, 6, 1, 6, 1, 8, 1, 1, 8, 1, 1, 6, 1, 1, 6, 8, 5, 5, 1, 1, 6, 4, 1, 1, 6, 6, 5, 5, 5, 5, 1, 1, 1, 1, 5, 6, 5, 1, 4, 7, 1, 4, 5, 8, 1, 1, 5, 6, 1, 1, 1, 1, 6, 5, 1, 6, 7, 5, 6, 1, 4, 4, 7, 1, 1, 1, 1, 5, 1, 1, 6, 7, 5, 1, 1, 5, 1, 7, 7, 5, 6, 8, 5, 5, 6, 1, 6, 1, 1, 1, 6, 5, 1, 5, 1, 6, 6, 6, 1, 7, 8, 7, 7, 6, 6, 5, 1, 8, 5, 6, 8, 7, 4, 6, 6, 1, 4, 1, 5, 4, 1, 1, 7, 1, 7, 6, 9, 7, 7, 1, 1, 6, 5, 7, 5, 6, 5, 6, 1, 6, 7, 5, 1, 6, 1, 6, 1, 1, 1, 1, 5, 1, 4, 6, 6, 6, 5, 1, 4, 1, 5, 1, 4, 6, 6, 6, 1, 5, 1, 1, 4, 1, 6, 1, 7, 6, 6, 1, 1, 7, 5, 1, 7, 1, 1, 1, 1, 7, 6, 7, 5, 7, 5, 6, 5, 5, 5, 6, 1, 7, 5, 1, 1, 6, 6, 1, 5, 1, 6, 6, 7, 4, 1, 5, 1, 7, 1, 6, 1, 1, 5, 1, 4, 7, 6, 5, 5, 5, 5, 5, 6, 5, 5, 1, 4, 6, 5, 1, 5, 1, 1, 6, 1, 1, 5, 1, 1, 1, 6, 6, 7, 1, 7, 1, 7, 6, 5, 1, 1, 7, 1, 1, 5, 4, 6, 1, 1, 1, 1, 8, 7, 5, 1, 1, 7, 6, 6, 7, 6, 1, 6, 7, 4, 1, 1, 1, 7, 1, 1, 1, 7, 5, 6, 5, 1, 4, 1, 7, 1, 7, 1, 1, 6, 6, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 6, 5, 6, 5, 2, 9, 1, 5, 7, 6, 6, 6, 1, 6, 4, 7, 1, 1, 6, 7, 5, 1, 6, 4, 6, 7, 1, 6, 9, 7, 1, 6, 1, 4, 7, 1, 6, 5, 6, 5, 6, 5, 7, 1, 4, 1, 5, 1, 1, 1, 7, 6, 6, 1, 1, 5, 4, 7, 1, 5, 6, 6, 3, 5, 1, 1, 1, 6, 6, 7, 7, 7, 8, 4, 1, 5, 6, 7, 6, 1, 1, 4, 7, 1, 5, 6, 6, 8, 1, 5, 1, 6, 1, 1, 6, 1, 7, 1, 8, 6, 7, 7, 7, 6, 1, 7, 7, 4, 6, 5, 5, 6, 7, 1, 4, 7, 1, 5, 1, 7, 1, 4, 1, 6, 6, 5, 1, 5, 6, 1, 7, 1, 1, 6, 6, 1, 1, 5, 1, 5, 7, 1, 7, 1, 7, 1, 6, 1, 1, 7, 4, 1, 1, 6, 8, 1, 1, 6, 7, 9, 6, 1, 7, 7, 5, 4, 1, 6, 6, 5, 5, 4, 6, 1, 6, 8, 1, 8, 1, 1, 7, 5, 4, 1, 1, 1, 1, 8, 1, 7, 7, 5, 1, 4, 6, 1, 1, 5, 1, 8, 5, 4, 5, 6, 7, 6, 7, 1, 4, 1, 7, 5, 6, 1, 6, 1, 1, 7, 1, 7, 5, 7, 5, 6, 1, 1, 4, 5, 4, 5, 8, 5, 1, 7, 1, 1, 1, 6, 1, 1, 1, 5, 6, 5, 7, 5, 6, 6, 1, 8, 1, 1, 1, 1, 7, 6, 7, 1, 7, 1, 6, 5, 6, 1, 4, 1, 7, 1, 6, 5, 1, 7, 1, 6, 1, 1, 5, 1, 1, 1, 1, 1, 7, 6, 5, 6, 6, 5, 7, 6, 6, 1, 6, 9, 5, 6, 1, 5, 4, 1, 4, 5, 5, 6, 4, 4, 4, 1, 6, 7, 7, 7, 1, 7, 1, 5, 4, 6, 1, 4, 1, 1, 6, 1, 5, 7, 7, 1, 1, 1, 6, 1, 6, 7, 1, 1, 5, 5, 6, 1, 7, 5, 1, 6, 1, 4, 6, 6, 5, 1, 7, 4, 7, 6, 5, 6, 1, 1, 6, 1, 6, 1, 5, 1, 1, 1, 7, 5, 5, 1, 1, 7, 1, 6, 1, 1, 5, 4, 7, 7, 1, 1, 7, 1, 1, 1, 6, 7, 8, 6, 1, 1, 1, 7, 1, 1, 5, 1, 1, 5, 1, 8, 7, 1, 6, 5, 4, 1, 7, 1, 1, 6, 6, 7, 4, 6, 1, 1, 1, 6, 1, 7, 1, 1, 7, 5, 7, 5, 5, 5, 6, 7, 6, 1, 6, 7, 1, 1, 7, 6, 7, 1, 6, 6, 7, 5, 1, 6, 7, 5, 6, 1, 1, 5, 7, 8, 6, 5, 7, 6, 6, 1, 6, 1, 4, 6, 1, 5, 7, 5, 8, 6, 1, 8"
sb7b00461.xml	11584	0	
sb7b00465.xml	9	0	
sb7b00466.xml	178	0	
sb7b00467.xml	19	0	
sb8b00002.xml	10	0	
sb8b00003.xml	8	0	
sb8b00007.xml	4	0	
sb8b00011.xml	5	4	"1, 2, 2, 1"
sb8b00015.xml	10	5	"1, 1, 1, 1, 1"
sb8b00025.xml	12	4	"1, 1, 1, 1"
sb8b00028.xml	153	0	
sb8b00029.xml	4	0	
sb8b00038.xml	91	0	
sb8b00041.xml	8	0	
sb8b00047.xml	30	0	
sb8b00048.xml	4	0	
sb8b00052.xml	39	0	
sb8b00055.xml	24	1	4
sb8b00056.xml	13	0	
sb8b00057.xml	19	0	
sb8b00060.xml	62	0	
sb8b00062.xml	45	0	
sb8b00063.xml	47	1	1
sb8b00070.xml	59	0	
sb8b00074.xml	18	0	
sb8b00075.xml	20	0	
sb8b00084.xml	18	0	
sb8b00086.xml	101	0	
sb8b00087.xml	32	0	
sb8b00091.xml	2	0	
sb8b00093.xml	60	0	
sb8b00096.xml	32	0	
sb8b00099.xml	49	0	
sb8b00100.xml	21	0	
sb8b00110.xml	96	0	
sb8b00112.xml	33	0	
sb8b00113.xml	4	0	
sb8b00115.xml	237	0	
sb8b00118.xml	12	0	
sb8b00127.xml	54	0	
sb8b00130.xml	60	0	
sb8b00134.xml	14	0	
sb8b00136.xml	19	0	
sb8b00139.xml	1	0	
sb8b00140.xml	64	0	
sb8b00145.xml	23	0	
